word,success,wrong_guesses,repeated_guesses,num_steps,guesses_seq
cholecystenterorrhaphy,1,1,0,14,c o n r e a t l h i y s p
rivery,0,6,0,10,a s e r o b i t n
pauropodous,0,6,0,13,s a n r o u p m l c t g
kelpie,0,6,0,8,a s e r n d t
imbirussu,0,6,0,9,s e i n t c a o
unfaint,0,6,0,12,a t s n u h i g c e d
oviculated,0,6,0,15,s a l r n c t i e p d u m b
cyanosed,0,6,0,13,a t l n s p i e r c d h
punitionally,1,2,0,12,s a l i o y t n p e u
tinamine,1,3,0,10,a t i n e l r b m
aristocraticalness,0,6,0,16,s t i e a r l o c v d y m k p
propodeum,0,6,0,12,s a e r o p y n d l t
delightingly,0,6,0,15,s a e r n i t c o d g l y u
pectase,1,1,0,8,a t n s c e p
cheka,0,6,0,10,a s u p i c o h j
dermasurgery,0,6,0,15,s t e r a i o m y p d u v n
librarian,0,6,0,10,s a n r p c u m t
begotten,0,6,0,10,a s e r n t d l m
outlay,0,6,0,10,a n l r s b p t c
distilled,1,2,0,9,s t i l e r n d
pelisse,1,5,0,11,a s t p e r n d l i
foredeserved,0,6,0,11,s e r n p d c a u t
trifoliolate,0,6,0,14,s a t e i n c o r m l d z
easer,0,6,0,10,a l n r t e g c m
benumbedness,0,6,0,11,s e d r n t i g a o
evidentiary,0,6,0,15,s a t r i o c n e d y l m x
chromosome,0,6,0,13,s i e t u a p c o h r n
bisulphate,1,5,0,16,s t e a i h c p u m d r b n l
unvoyaging,0,6,0,13,s a t n g i d e o r u c
underpossessor,1,5,0,14,s t p i e c u n h o r g d
stichometric,1,2,0,12,s t e i n c o r h l m
uncapably,0,6,0,14,s a n l e i y t c r u b m
carposperm,1,3,0,12,s e r a i o t m c h p
guanidopropionic,0,6,0,15,s a t c n e i p o u h r l f
dolichoglossus,0,6,0,14,s p c a o n r u l i h b m
vorticose,0,6,0,14,s e a u c o r i t b d f g
mart,0,6,0,10,a t s n c p m b d
embrocate,0,6,0,14,s a t e n l r o d m p c i
ichthyophobia,0,6,0,14,s a p o r i n c h t l m d
wakamba,0,6,0,8,a n t l r g c
cocash,0,6,0,9,a t n r l s p m
rearrange,1,3,0,9,s a l r n e t g
kaid,0,6,0,8,a t n l r c b
yn,0,6,0,7,a p u o e b
electrophysiology,1,4,0,17,s t i e n a o r l u m p h c g y
harshweed,0,6,0,13,s e d o p a t i c h r l
sufferableness,0,6,0,15,s e t r i a l h c u n m b p
becassocked,0,6,0,11,s e r t n d i c h p
palaverment,1,4,0,14,s a l t n r e m c p b d v
reaward,0,6,0,10,a l r i e o t y m
slinkiness,0,6,0,11,s e i n t d g h c m
schizoidism,0,6,0,13,s e i t c n a o h u m l
overfold,0,6,0,13,a s e r o n l v d c i t
evocatively,1,4,0,14,s a t i n l e r o y c d v
skeletin,0,6,0,13,a s e r d n t i m l h p
electrotitration,1,2,0,12,s a t i e n r o d l c
chiefdom,0,6,0,8,a s e r n t l
federal,0,6,0,12,a n l s c p r d e t m
hippotigris,0,6,0,11,s a u e i n c t o d
nonaxiomatic,0,6,0,14,s a l t n i c o r m b d g
cubitodigital,0,6,0,13,s a l c o n r h u m t p
simia,0,6,0,10,a s t i n d c l v
perciformes,0,6,0,15,s a u e n r i c t o p d m l
pretreat,1,3,0,9,a n l r o e t p
pewmate,0,6,0,12,a t e r s n d l m p o
heiresshood,0,6,0,13,s e r p t i h o n u l m
fermentatively,0,6,0,17,s a t i c n p o d l e r y v m h
salivan,0,6,0,11,a n t l e i c m p r
overstudied,1,5,0,15,s t i e r a o n h l d m v u
pilori,0,6,0,9,a s e u o n r c
chervil,0,6,0,13,a s e r i c n t o l h m
cordeliere,0,6,0,13,s a e r n p c d t l o v
herrenvolk,0,6,0,11,s a e r n t i g o p
temperament,1,5,0,13,s a t i e r n l d c m p
actinodromous,1,5,0,17,s e u p o n r c a h t i m g b d
hypersuperlative,0,6,0,18,s t i a c n p h e r o v m y u d b
dowerless,0,6,0,11,s e l t r f n p c a
vainly,0,6,0,11,a l e y t r c s i p
canossa,0,6,0,10,a l n e t g i s p
deglaciation,0,6,0,16,s a t i n r p c u m d e l o b
quintupliribbed,0,6,0,16,s a e r i n t c o d p l u m v
galeproof,0,6,0,13,s a n l e r i o m p u c
triethylamine,1,3,0,14,s a t i e r o h y l n b m
topectomy,0,6,0,10,s a e r n t i o l
misdeem,1,5,0,11,a s e p t m i b c d
cerebropedal,0,6,0,15,s a l c o r n e t m d p u g
dextran,1,5,0,13,a n s m i p e r t c d x
substitutionally,1,4,0,15,s t i n e a l o y h u r p b
hemometry,0,6,0,13,s a e r o i t m y p d c
setness,0,6,0,10,a s e r n o u i d
teasel,1,5,0,11,a r s t o i e n d l
uncramp,1,4,0,12,a t r c m e i p s u n
circumstantiable,1,3,0,16,s t i n c o a l e h r u b p m
polycormic,0,6,0,13,s a e o n r t i c m p u
pyotoxinemia,0,6,0,14,s a p o n t e r l m u c g
unrebated,0,6,0,14,s a l t e r n d u m c p x
unbiasable,0,6,0,14,s e t p i r c a n l u g d
irani,0,6,0,10,a s r t n e g d c
amblyomma,0,6,0,9,s a n r l i e t
spitted,1,3,0,10,a s e r t p d o i
oversusceptible,1,3,0,16,s t i c a o n r l e p m v u b
jobmonger,0,6,0,9,s a e r p t c u
dipody,0,6,0,8,a s e u o n r
khvat,0,6,0,9,a l n s r t b u
physiqued,0,6,0,12,s e r t a o p h i c n
hulu,0,6,0,8,a s e u r p f
meliorant,1,3,0,13,s a t n c e r d m l i o
evincive,0,6,0,10,a s e r n t d i l
tumtum,0,6,0,9,a s e u n l t r
clathrinidae,1,3,0,14,s a l n c t e i o r m d h
hugeously,0,6,0,9,s e r i d t p c
sward,0,6,0,10,a s l t n r e y i
thallogenic,0,6,0,16,s a t r l y e i n o c m h v p
petrolic,1,4,0,13,a s e r i t d o n c p l
versette,0,6,0,11,a s t e p r m d c h
nonterritoriality,1,2,0,12,s a t i e r o h l y n
laceleaf,0,6,0,10,a n l t r c s b m
parode,0,6,0,11,a l n r e i m p t g
cagn,0,6,0,9,a t n i r d f p
sphyrnidae,0,6,0,16,s t e i a c h o y l p n m d g
merchandiser,1,3,0,14,s i t a c l p n e r h d m
insinuating,0,6,0,13,s t i n e g a c d f r m
luxemburgian,0,6,0,14,s a l i e r n o y d t m p
volley,0,6,0,8,a s e r n d t
unpitiably,1,5,0,15,s a l e i o p y c t u b m n
proseuche,1,4,0,13,s e r c h i a o p n x u
ambassadress,0,6,0,10,s t p c i e u a l
latterness,1,5,0,13,s e r l u i a t m d v n
phagocytolysis,0,6,0,15,s a t i e l n c r p b m h d
struthiones,1,1,0,11,s e i t o r n a h u
tolylenediamine,1,3,0,14,s a n t e r i o l d b y m
tuatara,0,6,0,10,a l t r i h e o w
speleology,0,6,0,10,s t e r n d l i a
presley,0,6,0,12,a s e r t d n l c p m
ramified,0,6,0,11,a n l t r s m i c o
quadrumanal,0,6,0,11,s a t l n c r e i o
coimplicant,1,5,0,15,s a t c o n r u l m i e b p
pyralis,0,6,0,13,a t n l e i c s p h r o
epruinose,0,6,0,14,s e c r a i n t o d m p l
manipular,0,6,0,14,s a n t i c l r o d p m e
fangled,0,6,0,12,a l e r t n d h c p m
deferrize,0,6,0,11,s a e r i n t d l v
antemarital,1,1,0,10,s a l t i e r n m
profligation,1,5,0,16,s a t i n o r u p l c g b d f
sadhe,0,6,0,9,a l n r t s i u
crumblet,0,6,0,13,a s e r o n i l u t m p
camestres,1,3,0,11,s i a m t e h r p c
mantra,1,3,0,9,a t i r n p c m
conjoinedly,0,6,0,15,s a e r n t c d i o l y g f
aclinal,1,4,0,10,a n r l i b g p c
amalgamate,0,6,0,12,s a l t i e r n c m y
nutritional,1,4,0,13,s a l c p t i n o r e u
northeaster,0,6,0,13,s t i e r p c a u h m d
sowlike,0,6,0,10,a s e t i u n z c
craniopharyngeal,1,4,0,17,s a t l n e c g i r o u m p h y
unimpressibly,0,6,0,14,s e t i n c a o l y d p h
inaudible,0,6,0,13,s a n t l i e r c b m p
reapproach,0,6,0,12,s a t r l n c o h b m
cabob,0,6,0,8,a l n r t s m
anaconda,0,6,0,11,a n t l r c o g i e
inwick,0,6,0,9,a s e u o i n d
subpubic,0,6,0,11,a s e i t c o u l n
nebularization,0,6,0,15,s a t i n e r d l c m o p x
pharmacopsychology,1,5,0,17,s t e p h i o n a r m u l c g y
cyrtopia,0,6,0,13,a s c i o l m h e t r n
lienculus,0,6,0,12,s a e n t p c o h u m
tuck,0,6,0,8,a s e u n r l
becuiba,0,6,0,11,a s p c i h t u m d
rufflike,0,6,0,9,a s e i t n p c
gratulation,0,6,0,15,s a n t i e o r h u p l c b
disgustful,0,6,0,12,s i e t u n l o p h m
microcrystallogeny,1,5,0,19,s t i n e a c o l h g r d u f p m y
bavian,0,6,0,9,a n r l c t m s
petrification,1,5,0,16,s a t i c n p o r l d e v m f
antiseption,1,3,0,12,s t i a n e o r c x p
stakemaster,0,6,0,13,s i t e r a l n m c b d
weatherhead,0,6,0,11,s a n t i e r l c p
unglosed,1,3,0,12,a s e r n o c l d u g
draggy,0,6,0,9,a r n t c e b p
ectoblast,1,5,0,14,s e t i a r o n u l p b c
ensue,0,6,0,10,a s e t h m p n c
yaguaza,0,6,0,8,a n r l t m c
obduracy,0,6,0,10,a t r s l n p c i
grow,0,6,0,9,a s e u o r n p
lying,0,6,0,8,a s e u o i t
splintery,1,4,0,14,s t i e r p n d a o y h l
kitchenward,0,6,0,16,s a t e r i o n h m c y d g p
accentuator,0,6,0,14,s a l t i e r n c h o w y
gloomy,0,6,0,9,a s e u o r l d
traveldom,1,5,0,15,s a n t r c e d i o l m b v
redbird,0,6,0,11,a s e r o n i t d l
hyporadiolus,0,6,0,13,s a n r p e t l c u b m
underchancellor,1,5,0,16,s a t l e r i o n d u y m c h
ingaevonic,0,6,0,12,s a t n i c l r b g m
niccoliferous,0,6,0,16,s e n r i o c t l v u d z m g
warbled,0,6,0,13,a l e r t s m b g n d p
ceroplast,1,5,0,15,s e t r a i o n p h l m d c
heatlike,0,6,0,13,a t e i r n c h v l d s
rosular,1,2,0,9,a n l r o u t s
cochlear,1,5,0,13,a n l r p i u s c o e h
theron,0,6,0,12,a s e r i o n t b c d
dramalogue,0,6,0,13,s a n t c l e i o r u p
arciform,0,6,0,13,a n t l r e i o c y m s
monopetalae,1,5,0,14,s a r p l t n c b m i e o
thermoperiodicity,1,4,0,16,s a p h e r i n c o t y m l d
mandrake,0,6,0,11,a l n g t s d b r c
semology,0,6,0,12,a s e r l i o n u m p
lipoferous,0,6,0,12,s u a o n p d r c m t
atrichosis,1,1,0,10,s i a n t c o h r
anneslia,0,6,0,12,a n o e r s t i h m p
cobbra,0,6,0,11,a s c o r n u l m p
osteogenesis,0,6,0,12,s o t r n u l m p i c
caulotaxy,0,6,0,11,s a l t r n c b p m
genyophrynidae,0,6,0,14,s a l n t e i g o r u m c
login,0,6,0,9,a s e u o r n c
zoeform,0,6,0,10,a s e r i n l o t
corollary,0,6,0,10,s a t r o n i e m
chlamydobacteriaceae,1,4,0,18,a t n l r c s e b m i o p u y h d
presurvey,0,6,0,10,s e t r n d a l c
aedilian,0,6,0,11,a n r t l i u c s b
tubik,0,6,0,8,a s e u n r l
entosphere,1,2,0,11,s t i e a h r n p o
hydrofluate,0,6,0,14,s a t e c p r o n l u m b
regather,0,6,0,12,a t e r h n l m d c s
discoplacenta,1,2,0,14,s t i e a c o n r m l p d
chivalrousness,1,5,0,18,s e u o a n r t p c h i l m d z v
gasless,0,6,0,11,a l i e s p c m r b
spiraculum,0,6,0,15,s t e i n l y a r o c u m h
undeliberative,0,6,0,17,s a t i n c o e r d v l u z m g
stereobatic,0,6,0,14,s t e r o m i n c u l p g
gaviiformes,0,6,0,14,s a n r i o e t c l m p d
derived,1,4,0,10,a s e r i d n t v
flagellated,0,6,0,12,s a l t e d c n r b p
aspen,0,6,0,11,a n r l t c s i e h
preinvent,0,6,0,12,s a e r n t g d p c o
sachamaker,0,6,0,14,s t e r i a c m k b d f g
spectroscopic,1,4,0,13,s e t i a o n c r m l p
arctogaeal,1,5,0,14,s a l n t i e r o m c p g
respondency,0,6,0,14,s t e i r n a o g d c h u
gadroon,0,6,0,11,a l n t r i e o p c
consort,1,5,0,12,a s e i t p c o n u r
plumelike,0,6,0,10,s a e r n p i t h
aniseikonia,0,6,0,13,s t e r n i c a o l d z
paintedness,1,3,0,12,s e n d u p h r a t i
cochliodus,0,6,0,13,s u a o n r m p l c i e
disintegration,1,3,0,14,s t i e n r a o p d c u g
calmierer,0,6,0,13,s a n l e r i p c t o d
faunally,0,6,0,11,a l y c n p m r i b
archeion,1,4,0,13,a n t r i o e y m u c h
nance,1,4,0,9,a l n t d e g c
expellee,0,6,0,9,a s e r n d l t
treasonable,1,4,0,14,s t e h i u c a l o r n b
triboluminescence,0,6,0,18,s t i n e c a o r l y u m d z f p
crevice,0,6,0,9,a s e r n l p d
unresistedly,1,2,0,13,s i t e r n d a o u l y
superciliousness,1,3,0,14,s e t r i n c a o u l m p
prehumiliation,1,2,0,15,s a t i p n h e o y r l u m
planktologist,0,6,0,16,s e t i o a n p r l m c d g u
camerina,1,4,0,12,a r n t l c s i b m e
clave,0,6,0,10,a s r l n t c b m
orca,0,6,0,10,a p u s t i c o n
actability,0,6,0,10,s a t i e r o h n
lubricational,1,4,0,15,s a n l t e i o y u r c p b
synodus,0,6,0,11,a s e i o t n r u m
coumarate,1,5,0,14,s a r t i e p c o n u l m
hoodshyness,0,6,0,9,s t e p c i u a
prolongably,1,5,0,15,s a l e i o n p y h r t g b
agrammatical,1,5,0,14,s a l n t r i c b p m e g
sulphopropionic,1,4,0,15,s t e i n c o r u l a y p h
vender,0,6,0,11,a s e r d n m b c f
unshuddering,0,6,0,14,s t e n i u r l a g m p b
desiccant,1,3,0,12,s t i n p c a u m d e
trolly,0,6,0,9,a s e u o r p n
nonascetic,0,6,0,13,s t e i c p a u m d b r
parallelotropism,1,2,0,13,s e t r a n i l o c m p
mildly,0,6,0,8,a s e u o i n
recalibration,0,6,0,16,s a n t i c p o d l m u r e g
resistable,1,0,0,9,s t i e r l b a
merychippus,1,3,0,14,s a u o p c h t m e r i y
substrate,0,6,0,13,s e i h t o a c u r n p
bassoon,0,6,0,11,a l n t r s o c p m
teated,1,4,0,9,a r s n l t e d
untentaculate,1,3,0,11,s a t i e n l r c u
amphichrom,1,5,0,14,s a t n l r e i c o m p h
ionidium,0,6,0,11,a s e i n c t o d l
gelose,0,6,0,10,a s t e r n d l i
azotous,0,6,0,12,a n l r t e i o u s c
resuppression,1,2,0,11,s i p e n h r o m u
episcopalism,1,5,0,15,s t e r i h c o n u m l p a
tarea,0,6,0,10,a l n r m c t f i
instructively,1,4,0,16,s t i n c v a b d e r l y o u
graduator,0,6,0,10,s a l r n t c e b
stanley,0,6,0,13,a l e r t s d n m c p o
myringomycosis,0,6,0,15,s a p i c n e t o r u m g b
cloudlessness,0,6,0,13,s e n l a p i y o r u b
unfallible,0,6,0,14,s a t n l i e b f c d g h
shackling,1,5,0,15,s t e i n g h l u a r c o k
battik,0,6,0,10,a l n r t e i c s
bushy,0,6,0,11,a s e u t h y m q c
confinable,0,6,0,15,s a l e b u p i n c o t d g
codhead,0,6,0,11,a n l r t s c h o b
trochoidally,0,6,0,16,s a l i e y c o p u t h r n m
pennaceous,1,1,0,10,s u a c o e r n p
confervaceous,0,6,0,16,s e r a c o n t i g d u m v k
strychnic,1,5,0,14,s t e i c o a h r l y m n
tangentiality,1,4,0,13,s a n t e i r o h l y g
phenomenology,0,6,0,9,s a c e r n t i
torchless,1,5,0,14,s e a t i r o y m u c h l
recook,0,6,0,9,a s e r n l t d
leaderless,1,1,0,8,s e r n l d a
circumumbilical,0,6,0,11,s a l e i n c o h t
mugwumpism,0,6,0,12,s e t i m a o p u n l
nonswearing,0,6,0,15,s t e r a i c n o g h m p l
sky,0,6,0,8,a u p e o s i
deliberateness,0,6,0,16,s e n r a t d g l i v c z m p
mitigatory,0,6,0,14,s a t i o n r e c m y l d
barehanded,0,6,0,13,s a t r e b c n d l m p
centralist,1,3,0,13,s e t i a l r n p m d c
oxyether,0,6,0,10,a s e r n t u p c
interseminal,1,1,0,11,s t e r n a l d m i
premisal,0,6,0,13,a n l c p r o e x s d t
paramese,1,4,0,11,a t n r p l s c e m
ossetish,1,3,0,10,a s t i e u h p o
parentheses,1,2,0,11,s p i h e r n o t a
unembarrassment,1,4,0,14,s e r n t d a l m i u p b
confirmingly,0,6,0,14,s a e c o n i t d g l y v
treasurable,1,3,0,12,s t e h i u n r a l b
purposivistic,0,6,0,14,s e i c p h r t o n a d l
furnacite,1,4,0,14,s a n r t i e c p u q b f
nailprint,0,6,0,12,s a n t l e i y o u d
aspidobranchia,1,4,0,16,s e t h i n c a o r p u g d b
swirl,0,6,0,10,a s e t o i n l h
recruitment,0,6,0,13,s a e n t r i h d o m p
nemertini,1,5,0,12,s a e r o i t n d l m
piper,1,3,0,8,a s e r p o i
dissatisfy,0,6,0,11,s t i e h c u p a m
evangelization,0,6,0,15,s a t i n c e r d l g o m p
poluphloisboiotatotic,0,6,0,17,s t i c a p e h o n r l y m u w
podomancy,0,6,0,11,s a l t n c e o h r
thishow,0,6,0,11,a s e i t o n r l u
ovarin,0,6,0,11,a r i c s n u p t m
ismal,1,4,0,10,a l s o t u i h m
intraduodenal,1,5,0,16,s a l t r n c b m p u i d e o
vassalry,0,6,0,11,a l i t c s u e y p
unfluted,0,6,0,12,a s e r n d i o u t g
conclusional,1,2,0,11,s e t c o n a l i u
acronymic,0,6,0,12,s a t n l e c o i g d
electroosmotic,1,4,0,14,s t i e a o n c r d l h m
morrowtide,0,6,0,10,s a e p i t c n b
glucosidically,0,6,0,16,s t e i l a y o u n c b d p f
concatenation,1,2,0,10,s a n t i p c o e
fucate,0,6,0,12,a t e u r m l s n c q
abigail,0,6,0,11,a r l n t c b i s m
encinillo,1,4,0,11,s a e r n i c t o l
ungloriously,0,6,0,13,s i o u n t e a c g h m
drupelet,0,6,0,11,a s e r o d i n t y
unsensory,0,6,0,10,s i e t p c u h a
aphelenchus,1,4,0,14,s a n i t e l c r o h p u
eucosmidae,1,5,0,15,s t e a r n i d l m c o x u
tragicose,0,6,0,13,s e a t n l r c b m p d
interdepend,0,6,0,13,s a e r n t i g o d l m
pronpl,0,6,0,10,a s e u o r p h i
immunogenic,0,6,0,12,s a e r n c t i o l d
unfledgedness,0,6,0,12,s e n t r a d i g o c
amaga,0,6,0,8,a l r p t n c
archelenis,0,6,0,13,s u e r a o i t d n y m
brustle,1,4,0,12,a s e i u b q t r h l
bibliographize,0,6,0,16,s a t n l e i c r d o b p h v
ectocuniform,1,5,0,16,s a e n t o r i m u c l d z f
scutulated,1,5,0,14,s t e r i a o h n c l d u
choledoch,0,6,0,10,s a e r n d i o p
pessimum,1,5,0,12,a s e p u l n t i r m
winegrower,0,6,0,12,s a e r i o n v t p m
annelida,1,3,0,10,a n o e r s d l i
whatness,0,6,0,11,a t e s b f p c u r
sulphurization,1,5,0,18,s t i n a c e o h y u l r m d p z
monistical,1,4,0,14,s t e i a l c r p u m o n
anaspidacea,1,5,0,14,s t e r d i a l n m c h p
approximatively,0,6,0,18,s a l t e i n y r o c m b d p v g
scopidae,1,5,0,14,a n l r s t e i p c o m d
spondylocladium,1,3,0,16,s t e i n c o a d l p v m u y
turningness,0,6,0,13,s e a u n i o g q c p b
wisecrack,0,6,0,12,s t e n r a l c o h u
mincer,0,6,0,9,a s e r p t d o
tryphosa,1,4,0,13,a s u p e h c i t o r y
unbowing,0,6,0,12,a s e i n g t o u r c
heaving,0,6,0,11,a l r n i g s t m c
puffery,0,6,0,10,a s e r o i u n l
lenitiveness,0,6,0,13,s e r n t i c v p m d h
shutter,0,6,0,12,a s e r t i u p b c d
cyanate,0,6,0,12,a l r s t e p n o c h
phascogale,1,5,0,15,s t e i a p h c o l r m n g
dishwiping,0,6,0,13,s t i d c n e a o g h l
thicketful,0,6,0,13,s a e r n l p c t i h o
nitrosification,1,5,0,15,s t e i n o c a r d l v m f
whatreck,0,6,0,13,a t e s r n p c o h i u
politicalism,1,4,0,14,s e t o i n c h a m r l p
pulsimeter,1,4,0,14,s t e r m o i n p h a l u
antheia,0,6,0,12,a n t e h l r m d c s
corin,1,4,0,10,a s e u o r i c n
armchaired,0,6,0,13,s a t n r e o i d y m p
unsupplicated,1,1,0,13,s t i a e p r n l d c u
bleakly,0,6,0,12,a t n l y b i e g p c
derah,0,6,0,11,a l n s r t m d e y
titubancy,0,6,0,11,s a l t n e i o r h
mejorana,0,6,0,12,a c t s r m e n b d l
halibuter,0,6,0,13,s a n l e r i c t o d p
nereid,1,4,0,10,a s e r n d l o i
malacophonous,1,2,0,13,s e u p o h r c a l m n
juniority,0,6,0,12,s a e c p i n t o r h
preobligate,0,6,0,15,s a t e r n p l i d c m o u
fusilier,0,6,0,12,a s e r i p c t u n d
frecklish,0,6,0,13,s e r t a n p l c i o u
haloa,0,6,0,9,a l p m e s v w
stupe,0,6,0,10,a s e i t r o h y
tanghan,0,6,0,10,a n g m r l p c i
unsuggestive,0,6,0,13,s e c t i p u n l r m b
nitrolime,0,6,0,14,s a e i n c t o r l v d z
dactylioglyphtic,0,6,0,16,s a l e i n c o h y p r t m u
ripieno,0,6,0,12,a s e r o i n t d c l
oversour,0,6,0,11,a s e o r n p t l m
wrasse,0,6,0,11,a r n t c e g l s p
pseudoparenchymatous,1,2,0,17,a t i e r s n o d g c h y u m p
verderership,0,6,0,12,s t e r i n c a o d l
noninstrumental,1,1,0,13,s t a i e r n o l y m u
thlingchadinne,0,6,0,15,s a t e r i n o g l u h b m
proximal,0,6,0,13,a n l c p r o d u m s t
unplacid,0,6,0,13,a l r e c o h t u n i s
belgravian,0,6,0,11,s a n r m u t l c p
timefulness,0,6,0,14,s e r n u f l i a b c d g
microscopic,1,5,0,13,s e i c o r t m n l d p
fishyard,0,6,0,11,a t r e i l s m o c
shockingly,1,4,0,15,s t e i n g l y c h a o r k
metier,0,6,0,10,a s e r d t h b g
enbrave,0,6,0,11,a t r c n e l g o d
forejudge,0,6,0,10,s a e r n c p d t
epithalamion,1,5,0,16,s a t n l r c p b i o h m u e
unapplied,0,6,0,12,s a n t l e r c d b m
opsiometer,1,4,0,13,s t e r i c n a p o l m
posthetomy,0,6,0,13,s t i o r e n l m a p u
ropedancing,1,5,0,16,s a n e t i c p g u r o l m d
ticker,0,6,0,11,a s e r p t i n l g
cloghad,0,6,0,11,a n l e o s r t c m
january,0,6,0,9,a t r s i d c e
wineglassful,0,6,0,13,s e r t p c a n i m l h
carbuncle,0,6,0,12,s a n i t r e o g c y
tiphia,1,5,0,11,a s c p e o h u t i
negativer,0,6,0,14,s a n t e r i c l d v m p
circumcorneal,1,5,0,16,s a l c o h r e t i u n b x m
lifelessly,0,6,0,12,s e t l i a y n v c d
stunpoll,0,6,0,13,a s e i o t u n r l c g
neurone,0,6,0,11,a s e r i t o n d p
intrapsychic,1,3,0,14,s e t a p i n c h r o u y
lethocerus,0,6,0,15,s u a o p r d n c t e h m v
elementarily,1,4,0,14,s a t n r e i c d o l y m
